file_name,prompt,seed,background
images/apple__plain_white_studio_background__001.png,A neutral apple in a plain white studio background background,5,apple__plain_white_studio_background
images/apple__science_lab_bench__001.png,A neutral apple in a science lab bench background,2,apple__science_lab_bench
images/apple__science_lab_bench__002.png,A neutral apple in a science lab bench background,3,apple__science_lab_bench
images/ceramic_coffee_mug__bathroom_vanity_matte_tiles__001.png,A neutral ceramic coffee mug in a bathroom vanity matte tiles background,1,ceramic_coffee_mug__bathroom_vanity_matte_tiles
images/ceramic_coffee_mug__bathroom_vanity_matte_tiles__002.png,A neutral ceramic coffee mug in a bathroom vanity matte tiles background,2,ceramic_coffee_mug__bathroom_vanity_matte_tiles
images/ceramic_coffee_mug__bathroom_vanity_matte_tiles__003.png,A neutral ceramic coffee mug in a bathroom vanity matte tiles background,3,ceramic_coffee_mug__bathroom_vanity_matte_tiles
images/ceramic_coffee_mug__classroom_row_of_desks_daylight__001.png,A neutral ceramic coffee mug in a classroom row of desks daylight background,1,ceramic_coffee_mug__classroom_row_of_desks_daylight
images/ceramic_coffee_mug__classroom_row_of_desks_daylight__002.png,A neutral ceramic coffee mug in a classroom row of desks daylight background,3,ceramic_coffee_mug__classroom_row_of_desks_daylight
images/ceramic_coffee_mug__classroom_row_of_desks_daylight__003.png,A neutral ceramic coffee mug in a classroom row of desks daylight background,5,ceramic_coffee_mug__classroom_row_of_desks_daylight
images/ceramic_coffee_mug__garage_workshop_tools_on_pegboard__001.png,A neutral ceramic coffee mug in a garage workshop tools on pegboard background,1,ceramic_coffee_mug__garage_workshop_tools_on_pegboard
images/ceramic_coffee_mug__garage_workshop_tools_on_pegboard__002.png,A neutral ceramic coffee mug in a garage workshop tools on pegboard background,2,ceramic_coffee_mug__garage_workshop_tools_on_pegboard
images/ceramic_coffee_mug__garage_workshop_tools_on_pegboard__003.png,A neutral ceramic coffee mug in a garage workshop tools on pegboard background,3,ceramic_coffee_mug__garage_workshop_tools_on_pegboard
images/ceramic_coffee_mug__garage_workshop_tools_on_pegboard__004.png,A neutral ceramic coffee mug in a garage workshop tools on pegboard background,4,ceramic_coffee_mug__garage_workshop_tools_on_pegboard
images/ceramic_coffee_mug__garage_workshop_tools_on_pegboard__005.png,A neutral ceramic coffee mug in a garage workshop tools on pegboard background,5,ceramic_coffee_mug__garage_workshop_tools_on_pegboard
images/ceramic_coffee_mug__green_park_lawn_afternoon_light__001.png,A neutral ceramic coffee mug in a green park lawn afternoon light background,1,ceramic_coffee_mug__green_park_lawn_afternoon_light
images/ceramic_coffee_mug__green_park_lawn_afternoon_light__002.png,A neutral ceramic coffee mug in a green park lawn afternoon light background,2,ceramic_coffee_mug__green_park_lawn_afternoon_light
images/ceramic_coffee_mug__green_park_lawn_afternoon_light__003.png,A neutral ceramic coffee mug in a green park lawn afternoon light background,3,ceramic_coffee_mug__green_park_lawn_afternoon_light
images/ceramic_coffee_mug__green_park_lawn_afternoon_light__004.png,A neutral ceramic coffee mug in a green park lawn afternoon light background,4,ceramic_coffee_mug__green_park_lawn_afternoon_light
images/ceramic_coffee_mug__green_park_lawn_afternoon_light__005.png,A neutral ceramic coffee mug in a green park lawn afternoon light background,5,ceramic_coffee_mug__green_park_lawn_afternoon_light
images/ceramic_coffee_mug__hotel_room_desk_area__001.png,A neutral ceramic coffee mug in a hotel room desk area background,1,ceramic_coffee_mug__hotel_room_desk_area
images/ceramic_coffee_mug__hotel_room_desk_area__002.png,A neutral ceramic coffee mug in a hotel room desk area background,2,ceramic_coffee_mug__hotel_room_desk_area
images/ceramic_coffee_mug__hotel_room_desk_area__003.png,A neutral ceramic coffee mug in a hotel room desk area background,3,ceramic_coffee_mug__hotel_room_desk_area
images/ceramic_coffee_mug__hotel_room_desk_area__004.png,A neutral ceramic coffee mug in a hotel room desk area background,4,ceramic_coffee_mug__hotel_room_desk_area
images/ceramic_coffee_mug__hotel_room_desk_area__005.png,A neutral ceramic coffee mug in a hotel room desk area background,5,ceramic_coffee_mug__hotel_room_desk_area
images/ceramic_coffee_mug__kitchen_countertop_daylight__001.png,A neutral ceramic coffee mug in a kitchen countertop daylight background,1,ceramic_coffee_mug__kitchen_countertop_daylight
images/ceramic_coffee_mug__kitchen_countertop_daylight__002.png,A neutral ceramic coffee mug in a kitchen countertop daylight background,2,ceramic_coffee_mug__kitchen_countertop_daylight
images/ceramic_coffee_mug__kitchen_countertop_daylight__003.png,A neutral ceramic coffee mug in a kitchen countertop daylight background,3,ceramic_coffee_mug__kitchen_countertop_daylight
images/ceramic_coffee_mug__kitchen_countertop_daylight__004.png,A neutral ceramic coffee mug in a kitchen countertop daylight background,4,ceramic_coffee_mug__kitchen_countertop_daylight
images/ceramic_coffee_mug__kitchen_countertop_daylight__005.png,A neutral ceramic coffee mug in a kitchen countertop daylight background,5,ceramic_coffee_mug__kitchen_countertop_daylight
images/ceramic_coffee_mug__minimalist_living-room_corner__001.png,A neutral ceramic coffee mug in a minimalist living-room corner background,1,ceramic_coffee_mug__minimalist_living-room_corner
images/ceramic_coffee_mug__minimalist_living-room_corner__002.png,A neutral ceramic coffee mug in a minimalist living-room corner background,2,ceramic_coffee_mug__minimalist_living-room_corner
images/ceramic_coffee_mug__minimalist_living-room_corner__003.png,A neutral ceramic coffee mug in a minimalist living-room corner background,3,ceramic_coffee_mug__minimalist_living-room_corner
images/ceramic_coffee_mug__minimalist_living-room_corner__004.png,A neutral ceramic coffee mug in a minimalist living-room corner background,4,ceramic_coffee_mug__minimalist_living-room_corner
images/ceramic_coffee_mug__minimalist_living-room_corner__005.png,A neutral ceramic coffee mug in a minimalist living-room corner background,5,ceramic_coffee_mug__minimalist_living-room_corner
images/ceramic_coffee_mug__modern_office_desk__001.png,A neutral ceramic coffee mug in a modern office desk background,1,ceramic_coffee_mug__modern_office_desk
images/ceramic_coffee_mug__modern_office_desk__002.png,A neutral ceramic coffee mug in a modern office desk background,2,ceramic_coffee_mug__modern_office_desk
images/ceramic_coffee_mug__modern_office_desk__003.png,A neutral ceramic coffee mug in a modern office desk background,4,ceramic_coffee_mug__modern_office_desk
images/ceramic_coffee_mug__science_lab_bench__001.png,A neutral ceramic coffee mug in a science lab bench background,2,ceramic_coffee_mug__science_lab_bench
images/ceramic_coffee_mug__science_lab_bench__002.png,A neutral ceramic coffee mug in a science lab bench background,3,ceramic_coffee_mug__science_lab_bench
images/hardcover_book_(closed)__bathroom_vanity_matte_tiles__001.png,A neutral hardcover book (closed) in a bathroom vanity matte tiles background,3,hardcover_book_(closed)__bathroom_vanity_matte_tiles
images/hardcover_book_(closed)__bathroom_vanity_matte_tiles__002.png,A neutral hardcover book (closed) in a bathroom vanity matte tiles background,5,hardcover_book_(closed)__bathroom_vanity_matte_tiles
images/hardcover_book_(closed)__classroom_row_of_desks_daylight__001.png,A neutral hardcover book (closed) in a classroom row of desks daylight background,1,hardcover_book_(closed)__classroom_row_of_desks_daylight
images/hardcover_book_(closed)__classroom_row_of_desks_daylight__002.png,A neutral hardcover book (closed) in a classroom row of desks daylight background,2,hardcover_book_(closed)__classroom_row_of_desks_daylight
images/hardcover_book_(closed)__classroom_row_of_desks_daylight__003.png,A neutral hardcover book (closed) in a classroom row of desks daylight background,4,hardcover_book_(closed)__classroom_row_of_desks_daylight
images/hardcover_book_(closed)__garage_workshop_tools_on_pegboard__001.png,A neutral hardcover book (closed) in a garage workshop tools on pegboard background,1,hardcover_book_(closed)__garage_workshop_tools_on_pegboard
images/hardcover_book_(closed)__garage_workshop_tools_on_pegboard__002.png,A neutral hardcover book (closed) in a garage workshop tools on pegboard background,2,hardcover_book_(closed)__garage_workshop_tools_on_pegboard
images/hardcover_book_(closed)__garage_workshop_tools_on_pegboard__003.png,A neutral hardcover book (closed) in a garage workshop tools on pegboard background,4,hardcover_book_(closed)__garage_workshop_tools_on_pegboard
images/hardcover_book_(closed)__garage_workshop_tools_on_pegboard__004.png,A neutral hardcover book (closed) in a garage workshop tools on pegboard background,5,hardcover_book_(closed)__garage_workshop_tools_on_pegboard
images/hardcover_book_(closed)__green_park_lawn_afternoon_light__001.png,A neutral hardcover book (closed) in a green park lawn afternoon light background,1,hardcover_book_(closed)__green_park_lawn_afternoon_light
images/hardcover_book_(closed)__green_park_lawn_afternoon_light__002.png,A neutral hardcover book (closed) in a green park lawn afternoon light background,2,hardcover_book_(closed)__green_park_lawn_afternoon_light
images/hardcover_book_(closed)__green_park_lawn_afternoon_light__003.png,A neutral hardcover book (closed) in a green park lawn afternoon light background,3,hardcover_book_(closed)__green_park_lawn_afternoon_light
images/hardcover_book_(closed)__green_park_lawn_afternoon_light__004.png,A neutral hardcover book (closed) in a green park lawn afternoon light background,4,hardcover_book_(closed)__green_park_lawn_afternoon_light
images/hardcover_book_(closed)__green_park_lawn_afternoon_light__005.png,A neutral hardcover book (closed) in a green park lawn afternoon light background,5,hardcover_book_(closed)__green_park_lawn_afternoon_light
images/hardcover_book_(closed)__hotel_room_desk_area__001.png,A neutral hardcover book (closed) in a hotel room desk area background,1,hardcover_book_(closed)__hotel_room_desk_area
images/hardcover_book_(closed)__hotel_room_desk_area__002.png,A neutral hardcover book (closed) in a hotel room desk area background,2,hardcover_book_(closed)__hotel_room_desk_area
images/hardcover_book_(closed)__hotel_room_desk_area__003.png,A neutral hardcover book (closed) in a hotel room desk area background,3,hardcover_book_(closed)__hotel_room_desk_area
images/hardcover_book_(closed)__hotel_room_desk_area__004.png,A neutral hardcover book (closed) in a hotel room desk area background,4,hardcover_book_(closed)__hotel_room_desk_area
images/hardcover_book_(closed)__hotel_room_desk_area__005.png,A neutral hardcover book (closed) in a hotel room desk area background,5,hardcover_book_(closed)__hotel_room_desk_area
images/hardcover_book_(closed)__minimalist_living-room_corner__001.png,A neutral hardcover book (closed) in a minimalist living-room corner background,1,hardcover_book_(closed)__minimalist_living-room_corner
images/hardcover_book_(closed)__minimalist_living-room_corner__002.png,A neutral hardcover book (closed) in a minimalist living-room corner background,2,hardcover_book_(closed)__minimalist_living-room_corner
images/hardcover_book_(closed)__minimalist_living-room_corner__003.png,A neutral hardcover book (closed) in a minimalist living-room corner background,3,hardcover_book_(closed)__minimalist_living-room_corner
images/hardcover_book_(closed)__minimalist_living-room_corner__004.png,A neutral hardcover book (closed) in a minimalist living-room corner background,5,hardcover_book_(closed)__minimalist_living-room_corner
images/hardcover_book_(closed)__modern_office_desk__001.png,A neutral hardcover book (closed) in a modern office desk background,1,hardcover_book_(closed)__modern_office_desk
images/hardcover_book_(closed)__modern_office_desk__002.png,A neutral hardcover book (closed) in a modern office desk background,2,hardcover_book_(closed)__modern_office_desk
images/hardcover_book_(closed)__modern_office_desk__003.png,A neutral hardcover book (closed) in a modern office desk background,4,hardcover_book_(closed)__modern_office_desk
images/hardcover_book_(closed)__modern_office_desk__004.png,A neutral hardcover book (closed) in a modern office desk background,5,hardcover_book_(closed)__modern_office_desk
images/hardcover_book_(closed)__science_lab_bench__001.png,A neutral hardcover book (closed) in a science lab bench background,1,hardcover_book_(closed)__science_lab_bench
images/hardcover_book_(closed)__science_lab_bench__002.png,A neutral hardcover book (closed) in a science lab bench background,3,hardcover_book_(closed)__science_lab_bench
images/hardcover_book_(closed)__science_lab_bench__003.png,A neutral hardcover book (closed) in a science lab bench background,5,hardcover_book_(closed)__science_lab_bench
images/matte_gray_sphere__bathroom_vanity_matte_tiles__001.png,A neutral matte gray sphere in a bathroom vanity matte tiles background,1,matte_gray_sphere__bathroom_vanity_matte_tiles
images/matte_gray_sphere__bathroom_vanity_matte_tiles__002.png,A neutral matte gray sphere in a bathroom vanity matte tiles background,2,matte_gray_sphere__bathroom_vanity_matte_tiles
images/matte_gray_sphere__bathroom_vanity_matte_tiles__003.png,A neutral matte gray sphere in a bathroom vanity matte tiles background,3,matte_gray_sphere__bathroom_vanity_matte_tiles
images/matte_gray_sphere__bathroom_vanity_matte_tiles__004.png,A neutral matte gray sphere in a bathroom vanity matte tiles background,4,matte_gray_sphere__bathroom_vanity_matte_tiles
images/matte_gray_sphere__classroom_row_of_desks_daylight__001.png,A neutral matte gray sphere in a classroom row of desks daylight background,1,matte_gray_sphere__classroom_row_of_desks_daylight
images/matte_gray_sphere__garage_workshop_tools_on_pegboard__001.png,A neutral matte gray sphere in a garage workshop tools on pegboard background,1,matte_gray_sphere__garage_workshop_tools_on_pegboard
images/matte_gray_sphere__garage_workshop_tools_on_pegboard__002.png,A neutral matte gray sphere in a garage workshop tools on pegboard background,5,matte_gray_sphere__garage_workshop_tools_on_pegboard
images/matte_gray_sphere__green_park_lawn_afternoon_light__001.png,A neutral matte gray sphere in a green park lawn afternoon light background,2,matte_gray_sphere__green_park_lawn_afternoon_light
images/matte_gray_sphere__green_park_lawn_afternoon_light__002.png,A neutral matte gray sphere in a green park lawn afternoon light background,3,matte_gray_sphere__green_park_lawn_afternoon_light
images/matte_gray_sphere__green_park_lawn_afternoon_light__003.png,A neutral matte gray sphere in a green park lawn afternoon light background,4,matte_gray_sphere__green_park_lawn_afternoon_light
images/matte_gray_sphere__green_park_lawn_afternoon_light__004.png,A neutral matte gray sphere in a green park lawn afternoon light background,5,matte_gray_sphere__green_park_lawn_afternoon_light
images/matte_gray_sphere__hotel_room_desk_area__001.png,A neutral matte gray sphere in a hotel room desk area background,1,matte_gray_sphere__hotel_room_desk_area
images/matte_gray_sphere__hotel_room_desk_area__002.png,A neutral matte gray sphere in a hotel room desk area background,3,matte_gray_sphere__hotel_room_desk_area
images/matte_gray_sphere__hotel_room_desk_area__003.png,A neutral matte gray sphere in a hotel room desk area background,4,matte_gray_sphere__hotel_room_desk_area
images/matte_gray_sphere__kitchen_countertop_daylight__001.png,A neutral matte gray sphere in a kitchen countertop daylight background,2,matte_gray_sphere__kitchen_countertop_daylight
images/matte_gray_sphere__kitchen_countertop_daylight__002.png,A neutral matte gray sphere in a kitchen countertop daylight background,3,matte_gray_sphere__kitchen_countertop_daylight
images/matte_gray_sphere__minimalist_living-room_corner__001.png,A neutral matte gray sphere in a minimalist living-room corner background,1,matte_gray_sphere__minimalist_living-room_corner
images/matte_gray_sphere__minimalist_living-room_corner__002.png,A neutral matte gray sphere in a minimalist living-room corner background,2,matte_gray_sphere__minimalist_living-room_corner
images/matte_gray_sphere__minimalist_living-room_corner__003.png,A neutral matte gray sphere in a minimalist living-room corner background,4,matte_gray_sphere__minimalist_living-room_corner
images/matte_gray_sphere__minimalist_living-room_corner__004.png,A neutral matte gray sphere in a minimalist living-room corner background,5,matte_gray_sphere__minimalist_living-room_corner
images/matte_gray_sphere__modern_office_desk__001.png,A neutral matte gray sphere in a modern office desk background,1,matte_gray_sphere__modern_office_desk
images/matte_gray_sphere__modern_office_desk__002.png,A neutral matte gray sphere in a modern office desk background,4,matte_gray_sphere__modern_office_desk
images/matte_gray_sphere__plain_white_studio_background__001.png,A neutral matte gray sphere in a plain white studio background background,1,matte_gray_sphere__plain_white_studio_background
images/matte_gray_sphere__plain_white_studio_background__002.png,A neutral matte gray sphere in a plain white studio background background,2,matte_gray_sphere__plain_white_studio_background
images/matte_gray_sphere__plain_white_studio_background__003.png,A neutral matte gray sphere in a plain white studio background background,3,matte_gray_sphere__plain_white_studio_background
images/matte_gray_sphere__plain_white_studio_background__004.png,A neutral matte gray sphere in a plain white studio background background,5,matte_gray_sphere__plain_white_studio_background
images/notebook_with_kraft_cover__classroom_row_of_desks_daylight__001.png,A neutral notebook with kraft cover in a classroom row of desks daylight background,1,notebook_with_kraft_cover__classroom_row_of_desks_daylight
images/notebook_with_kraft_cover__classroom_row_of_desks_daylight__002.png,A neutral notebook with kraft cover in a classroom row of desks daylight background,2,notebook_with_kraft_cover__classroom_row_of_desks_daylight
images/notebook_with_kraft_cover__classroom_row_of_desks_daylight__003.png,A neutral notebook with kraft cover in a classroom row of desks daylight background,3,notebook_with_kraft_cover__classroom_row_of_desks_daylight
images/notebook_with_kraft_cover__classroom_row_of_desks_daylight__004.png,A neutral notebook with kraft cover in a classroom row of desks daylight background,4,notebook_with_kraft_cover__classroom_row_of_desks_daylight
images/notebook_with_kraft_cover__classroom_row_of_desks_daylight__005.png,A neutral notebook with kraft cover in a classroom row of desks daylight background,5,notebook_with_kraft_cover__classroom_row_of_desks_daylight
images/notebook_with_kraft_cover__garage_workshop_tools_on_pegboard__001.png,A neutral notebook with kraft cover in a garage workshop tools on pegboard background,1,notebook_with_kraft_cover__garage_workshop_tools_on_pegboard
images/notebook_with_kraft_cover__garage_workshop_tools_on_pegboard__002.png,A neutral notebook with kraft cover in a garage workshop tools on pegboard background,2,notebook_with_kraft_cover__garage_workshop_tools_on_pegboard
images/notebook_with_kraft_cover__garage_workshop_tools_on_pegboard__003.png,A neutral notebook with kraft cover in a garage workshop tools on pegboard background,3,notebook_with_kraft_cover__garage_workshop_tools_on_pegboard
images/notebook_with_kraft_cover__garage_workshop_tools_on_pegboard__004.png,A neutral notebook with kraft cover in a garage workshop tools on pegboard background,4,notebook_with_kraft_cover__garage_workshop_tools_on_pegboard
images/notebook_with_kraft_cover__garage_workshop_tools_on_pegboard__005.png,A neutral notebook with kraft cover in a garage workshop tools on pegboard background,5,notebook_with_kraft_cover__garage_workshop_tools_on_pegboard
images/notebook_with_kraft_cover__green_park_lawn_afternoon_light__001.png,A neutral notebook with kraft cover in a green park lawn afternoon light background,4,notebook_with_kraft_cover__green_park_lawn_afternoon_light
images/notebook_with_kraft_cover__hotel_room_desk_area__001.png,A neutral notebook with kraft cover in a hotel room desk area background,1,notebook_with_kraft_cover__hotel_room_desk_area
images/notebook_with_kraft_cover__hotel_room_desk_area__002.png,A neutral notebook with kraft cover in a hotel room desk area background,2,notebook_with_kraft_cover__hotel_room_desk_area
images/notebook_with_kraft_cover__hotel_room_desk_area__003.png,A neutral notebook with kraft cover in a hotel room desk area background,3,notebook_with_kraft_cover__hotel_room_desk_area
images/notebook_with_kraft_cover__hotel_room_desk_area__004.png,A neutral notebook with kraft cover in a hotel room desk area background,4,notebook_with_kraft_cover__hotel_room_desk_area
images/notebook_with_kraft_cover__kitchen_countertop_daylight__001.png,A neutral notebook with kraft cover in a kitchen countertop daylight background,3,notebook_with_kraft_cover__kitchen_countertop_daylight
images/notebook_with_kraft_cover__kitchen_countertop_daylight__002.png,A neutral notebook with kraft cover in a kitchen countertop daylight background,4,notebook_with_kraft_cover__kitchen_countertop_daylight
images/notebook_with_kraft_cover__modern_office_desk__001.png,A neutral notebook with kraft cover in a modern office desk background,1,notebook_with_kraft_cover__modern_office_desk
images/notebook_with_kraft_cover__modern_office_desk__002.png,A neutral notebook with kraft cover in a modern office desk background,2,notebook_with_kraft_cover__modern_office_desk
images/notebook_with_kraft_cover__modern_office_desk__003.png,A neutral notebook with kraft cover in a modern office desk background,3,notebook_with_kraft_cover__modern_office_desk
images/notebook_with_kraft_cover__modern_office_desk__004.png,A neutral notebook with kraft cover in a modern office desk background,4,notebook_with_kraft_cover__modern_office_desk
images/notebook_with_kraft_cover__modern_office_desk__005.png,A neutral notebook with kraft cover in a modern office desk background,5,notebook_with_kraft_cover__modern_office_desk
images/notebook_with_kraft_cover__science_lab_bench__001.png,A neutral notebook with kraft cover in a science lab bench background,1,notebook_with_kraft_cover__science_lab_bench
images/notebook_with_kraft_cover__science_lab_bench__002.png,A neutral notebook with kraft cover in a science lab bench background,2,notebook_with_kraft_cover__science_lab_bench
images/notebook_with_kraft_cover__science_lab_bench__003.png,A neutral notebook with kraft cover in a science lab bench background,3,notebook_with_kraft_cover__science_lab_bench
images/notebook_with_kraft_cover__science_lab_bench__004.png,A neutral notebook with kraft cover in a science lab bench background,4,notebook_with_kraft_cover__science_lab_bench
images/notebook_with_kraft_cover__science_lab_bench__005.png,A neutral notebook with kraft cover in a science lab bench background,5,notebook_with_kraft_cover__science_lab_bench
images/opaque_metal_water_bottle__bathroom_vanity_matte_tiles__001.png,A neutral opaque metal water bottle in a bathroom vanity matte tiles background,1,opaque_metal_water_bottle__bathroom_vanity_matte_tiles
images/opaque_metal_water_bottle__bathroom_vanity_matte_tiles__002.png,A neutral opaque metal water bottle in a bathroom vanity matte tiles background,2,opaque_metal_water_bottle__bathroom_vanity_matte_tiles
images/opaque_metal_water_bottle__bathroom_vanity_matte_tiles__003.png,A neutral opaque metal water bottle in a bathroom vanity matte tiles background,3,opaque_metal_water_bottle__bathroom_vanity_matte_tiles
images/opaque_metal_water_bottle__bathroom_vanity_matte_tiles__004.png,A neutral opaque metal water bottle in a bathroom vanity matte tiles background,4,opaque_metal_water_bottle__bathroom_vanity_matte_tiles
images/opaque_metal_water_bottle__classroom_row_of_desks_daylight__001.png,A neutral opaque metal water bottle in a classroom row of desks daylight background,2,opaque_metal_water_bottle__classroom_row_of_desks_daylight
images/opaque_metal_water_bottle__classroom_row_of_desks_daylight__002.png,A neutral opaque metal water bottle in a classroom row of desks daylight background,3,opaque_metal_water_bottle__classroom_row_of_desks_daylight
images/opaque_metal_water_bottle__classroom_row_of_desks_daylight__003.png,A neutral opaque metal water bottle in a classroom row of desks daylight background,5,opaque_metal_water_bottle__classroom_row_of_desks_daylight
images/opaque_metal_water_bottle__garage_workshop_tools_on_pegboard__001.png,A neutral opaque metal water bottle in a garage workshop tools on pegboard background,1,opaque_metal_water_bottle__garage_workshop_tools_on_pegboard
images/opaque_metal_water_bottle__garage_workshop_tools_on_pegboard__002.png,A neutral opaque metal water bottle in a garage workshop tools on pegboard background,2,opaque_metal_water_bottle__garage_workshop_tools_on_pegboard
images/opaque_metal_water_bottle__garage_workshop_tools_on_pegboard__003.png,A neutral opaque metal water bottle in a garage workshop tools on pegboard background,3,opaque_metal_water_bottle__garage_workshop_tools_on_pegboard
images/opaque_metal_water_bottle__garage_workshop_tools_on_pegboard__004.png,A neutral opaque metal water bottle in a garage workshop tools on pegboard background,4,opaque_metal_water_bottle__garage_workshop_tools_on_pegboard
images/opaque_metal_water_bottle__garage_workshop_tools_on_pegboard__005.png,A neutral opaque metal water bottle in a garage workshop tools on pegboard background,5,opaque_metal_water_bottle__garage_workshop_tools_on_pegboard
images/opaque_metal_water_bottle__green_park_lawn_afternoon_light__001.png,A neutral opaque metal water bottle in a green park lawn afternoon light background,1,opaque_metal_water_bottle__green_park_lawn_afternoon_light
images/opaque_metal_water_bottle__green_park_lawn_afternoon_light__002.png,A neutral opaque metal water bottle in a green park lawn afternoon light background,2,opaque_metal_water_bottle__green_park_lawn_afternoon_light
images/opaque_metal_water_bottle__green_park_lawn_afternoon_light__003.png,A neutral opaque metal water bottle in a green park lawn afternoon light background,3,opaque_metal_water_bottle__green_park_lawn_afternoon_light
images/opaque_metal_water_bottle__green_park_lawn_afternoon_light__004.png,A neutral opaque metal water bottle in a green park lawn afternoon light background,4,opaque_metal_water_bottle__green_park_lawn_afternoon_light
images/opaque_metal_water_bottle__green_park_lawn_afternoon_light__005.png,A neutral opaque metal water bottle in a green park lawn afternoon light background,5,opaque_metal_water_bottle__green_park_lawn_afternoon_light
images/opaque_metal_water_bottle__hotel_room_desk_area__001.png,A neutral opaque metal water bottle in a hotel room desk area background,1,opaque_metal_water_bottle__hotel_room_desk_area
images/opaque_metal_water_bottle__hotel_room_desk_area__002.png,A neutral opaque metal water bottle in a hotel room desk area background,5,opaque_metal_water_bottle__hotel_room_desk_area
images/opaque_metal_water_bottle__kitchen_countertop_daylight__001.png,A neutral opaque metal water bottle in a kitchen countertop daylight background,2,opaque_metal_water_bottle__kitchen_countertop_daylight
images/opaque_metal_water_bottle__kitchen_countertop_daylight__002.png,A neutral opaque metal water bottle in a kitchen countertop daylight background,3,opaque_metal_water_bottle__kitchen_countertop_daylight
images/opaque_metal_water_bottle__minimalist_living-room_corner__001.png,A neutral opaque metal water bottle in a minimalist living-room corner background,1,opaque_metal_water_bottle__minimalist_living-room_corner
images/opaque_metal_water_bottle__minimalist_living-room_corner__002.png,A neutral opaque metal water bottle in a minimalist living-room corner background,2,opaque_metal_water_bottle__minimalist_living-room_corner
images/opaque_metal_water_bottle__minimalist_living-room_corner__003.png,A neutral opaque metal water bottle in a minimalist living-room corner background,3,opaque_metal_water_bottle__minimalist_living-room_corner
images/opaque_metal_water_bottle__minimalist_living-room_corner__004.png,A neutral opaque metal water bottle in a minimalist living-room corner background,4,opaque_metal_water_bottle__minimalist_living-room_corner
images/opaque_metal_water_bottle__minimalist_living-room_corner__005.png,A neutral opaque metal water bottle in a minimalist living-room corner background,5,opaque_metal_water_bottle__minimalist_living-room_corner
images/opaque_metal_water_bottle__modern_office_desk__001.png,A neutral opaque metal water bottle in a modern office desk background,1,opaque_metal_water_bottle__modern_office_desk
images/opaque_metal_water_bottle__modern_office_desk__002.png,A neutral opaque metal water bottle in a modern office desk background,3,opaque_metal_water_bottle__modern_office_desk
images/opaque_metal_water_bottle__modern_office_desk__003.png,A neutral opaque metal water bottle in a modern office desk background,4,opaque_metal_water_bottle__modern_office_desk
